Ranking,Store Name,Rating,Number of Ratings,Neighborhood,Price,Open Time,Close Time,Delivery,Takeout,Outdoor Seating,Indoor Dining,Latitude,Longitude,Style,Health Score
1,Love & Honey Fried Chicken,4.5,375,Northern Liberties,M,10:45 PM,8:00 PM,Y,Y,N,N,39.967442,-75.136864,Chicken Shop,96
2,Redcrest Fried Chicken,4,140,Passyunk Square,L,11:00 AM,2:00 AM,Y,Y,N,N,39.93014,-75.16281,Chicken Shop,89
3,Andy's Chicken,4.5,226,Fishtown,M,12:00 PM,11:00 PM,Y,Y,N,N,39.9775,-75.12839,Korean,87
4,Crunchik'n,4.5,146,Washington Square West,L,11:30 AM,11:00 PM,Y,Y,Y,N,39.94831,-75.15917,Korean,80
5,Chi Mc King,4.5,8,null,L,null,null,null,null,null,Y,39.97011,-75.14763,Korean,null
6,Foghorn,4,141,East Falls,M,12:00 PM,8:00 PM,Y,Y,N,N,40.0092,-75.19415,Chicken Shop,81
7,Bud & Marilyn's ,4,1205,Washington Square West,M,4:00 PM,10:00 PM,Y,Y,Y,Y,39.94786,-75.16214,American,82
8,Crown Fried Chicken,4,41,University City,L,9:00 AM,5:00 PM,Y,Y,N,N,39.95702,-75.20223,American,90
9,TKK Fried Chicken,4,11,West,L,null,null,N,Y,N,N,40.00278,-75.22212,Asian,null
10,BBQ Chicken,4.5,85,Upper Darby,M,11:00 AM,8:00 PM,Y,Y,N,N,39.96127,-75.26303,Korean,null
11,Keven Parker Soul Food Cafe,3.5,178,Market East,M,11:00 AM,6:00 PM,N,Y,N,N,39.95208,-75.15982,Soul Food,86
12,Buk Chon Korean Cuisine,4.5,179,Old City,M,12:00 PM,8:00 PM,Y,N,Y,Y,39.94817,-75.14371,Korean,84
13,Southgate,4,306,Rittenhouse,M,12:00 PM,10:00 PM,Y,Y,N,Y,39.94562,-75.17178,Korean,75
14,Baology,4,172,Logan Square,M,12:00 PM,8:00 PM,Y,Y,N,N,39.95429,-75.17022,Taiwanese,94
15,Andy's Chicken,4,87,South Philly,L,11:00 AM,9:00 PM,Y,Y,N,N,39.94499,-75.17735,Korean,88
16,Honey's Sit-N-Eat,4,1360,Northern Liberties,M,7:00 AM,2:00 PM,Y,Y,Y,Y,39.96395,-75.1445,Southern,81
17,Bonchon,3.5,571,Chinatown,M,11:00 AM,1:00 AM,Y,Y,Y,Y,39.9544,-75.15703,Korean,null
18,Wing Life Cafe,5,1,Logan,M,null,null,null,null,null,null,40.03636,-75.14474,Chicken Shop,null
19,Nano's Fried Chicken,4,7,Norristown,L,11:00 AM,1:00 AM,Y,Y,null,null,40.11284,-75.33915,Halal,53
20,Tsaocaa & BBQ Chicken,3.5,147,Chinatown,M,12:00 PM,12:00 AM,Y,Y,null,null,39.95517,-75.15571,Korean,72
21,Krispy Kruncy Chicken,4.5,2,Northern Liberties,M,null,null,Y,Y,N,N,39.96053,-75.13762,Chicken Shop,null
22,Ms Tootsie's RBL,3.5,608,Washington Square West,M,5:00 PM,1:00 AM,N,Y,null,null,39.94331,-75.16381,Soul Food,78
23,Pelicana Chicken,3.5,75,University City,M,11:30 AM,2:00 AM,Y,Y,null,null,39.95152,-75.20337,Korean,82
24,Pete's Place,4,13,Society Hill,M,4:00 PM,10:00 PM,Y,Y,null,null,39.94188,-75.1526,Korean,null
25,Cafe Soho,4,777,Northeast,M,12:30,10:30 PM,N,Y,N,N,40.05512,-75.12603,Korean,77
26,Cily Chicken Rice,4.5,21,Chinatown,M,11:00 AM,9:00 PM,Y,Y,N,Y,39.9555,-75.15548,Thai,null
27,Chase's Hop Shop,4.5,112,Northeast,L,2:00 PM,8:30 PM,Y,Y,Y,Y,40.06036,-75.08451,Deli,78
28,Federal Donuts,4,319,University City,L,8:00 AM,3:00 PM,N,Y,N,N,39.95354,-75.19317,Comfort Food,96
29,Jamaica Wings,4.5,26,Upper Darby,L,11:00 AM,10:00 PM,Y,Y,null,null,39.96748,-75.29027,Caribbean,null
30,Andy's Chicken,4.5,31,Jenkintown,M,null,null,Y,Y,null,null,40.09622,-75.12678,Korean,67
